CASEID,acu3c,aprcu3c,asepcu3c,cu3rnkc,cu3_190,nsepevr,totclwc,agec,agedc,agegr10,agegr5,chh0014c,chrinhdc,chrtime6,famtype,hsdsizec,livarr12,marstat,multigen,prtypec,sex,sexpr,gu_110,gu_120,gu_130c,gu_150c,gu_170,gu_180,gu_190,gu_210,aclma1c,adivma1c,adthma1c,agema1c,aprma1c,asepma1c,ma1rnkc,ma1_150,ma1_165,ma1_170,ma1_220,ma1_230,wevermar,apardivc,aparsepc,achb1c,achdmpl,achd_1c,achj1c,chddecc,chdinftc,chdinptc,chdoutc,hhdchd1,hhdsta1,rci10_1,rci65_1,totchdc
16764,99.6,99.6,99.6,96,6,0,0,27,27.3,2, 3,0,0,1,6,1, 1, 6,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16765,99.6,99.6,99.6,96,6,0,0,22,22.9,1, 2,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,1,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16766,99.6,99.6,99.6,96,6,0,0,48,48.3,4, 7,0,0,1,1,2, 2, 1,2,3,2,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16767,99.6,99.6,99.6,96,6,0,0,53,54.0,4, 8,0,1,1,2,5, 3, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,30.6,96, 24,99.6,0,2,0,1,1,1,2,6, 3
16768,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,5,2, 8, 3,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,80.0,24.7,21.1,99.6, 1,6,1,3,6,2,4,96,96,29.5,96, 60,99.6,0,1,0,1,1,1,2,6, 2
16769,99.6,99.6,99.6,96,6,1,2,37,37.6,3, 5,2,2,5,2,4, 3, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96, 8,30.7, 2,  7,99.6,0,2,0,0,1,1,2,6, 2
16770,99.6,99.6,99.6,96,6,0,1,28,29.0,2, 3,1,1,2,2,3, 3, 2,2,2,1,2,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6, 9, 9,28.6, 0,  0,99.6,0,1,0,0,1,1,1,6, 1
16771,99.6,99.6,99.6,96,6,0,0,60,60.6,5,10,0,1,1,2,3, 3, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,33.3,96, 28,99.6,0,1,0,1,2,3,1,6, 2
16772,99.6,99.6,99.6,96,6,0,0,67,67.1,6,11,0,0,1,6,1, 1, 6,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,4,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16773,99.6,99.6,99.6,96,6,0,0,57,58.0,5, 9,0,0,1,1,2, 2, 1,2,1,2,1,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,25.5,96, 33,99.6,0,0,0,2,2,3,2,6, 2
